x1,x2,y,
2.31503939,-0.908103283,0,
1.752126598,-1.988404691,0,
2.154952843,-1.891813347,0,
-0.064261063,-2.871489751,0,
-0.426275363,-1.618109646,0,
1.680151626,-1.317401114,0,
2.457739259,-3.146231638,0,
2.941584074,-2.939089391,0,
1.055007688,-3.239220137,0,
2.132197188,-2.238413461,0,
2.03378576,-1.253085519,0,
-1.022521384,-2.469130501,0,
3.066185845,0.517665735,0,
0.691194131,-1.583853695,0,
2.998801914,1.431705171,0,
0.917487006,-3.282231653,0,
1.318036297,0.436006175,0,
1.792132775,-1.488497099,0,
2.318603689,-1.232058037,0,
2.148387719,-1.510520928,0,
-3.367349768,2.950894342,1,
-1.188493703,2.51294777,1,
-3.055344518,-0.148975987,1,
-3.264113633,1.677965229,1,
-4.021989029,1.737486872,1,
-1.325289226,1.625039469,1,
-1.525828101,1.803403501,1,
-2.192692472,3.004825803,1,
-2.504946738,0.482325311,1,
-1.256110022,0.936800132,1,
-1.791750385,1.635944887,1,
-3.704357622,3.829560534,1,
-1.390116241,0.884523291,1,
-1.598901764,0.830231189,1,
-1.922467788,1.256339447,1,
-0.24277853,2.862469516,1,
-0.885645853,0.296935899,1,
-1.973718076,1.683579212,1,
-1.872335003,0.863432819,1,
-0.522205169,1.53909523,1,
